-24.656 2.89378	-0.485199   0.0384069
-23.9809 2.96956	-0.498825   0.034875
-24.1361 2.83971	-0.495528   0.0314504
-24.0551 2.86258	-0.500489   0.0456637
-24.7179 2.91573	-0.513318   0.0480557
-24.2029 2.9025	-0.512968   0.0521658
-24.1389 2.90951	-0.545276   0.0470048
-24.0055 2.86323	-0.487552   0.0392903
-24.0413 2.83701	-0.508739   0.0489453
-24.0414 2.84261	-0.424965   0.0416928
-23.9651 2.95047	-0.378088   0.0502624
-23.9509 2.84283	-0.443967   0.0439775
-24.0001 2.83755	-0.374629   0.0543566
-23.9642 2.86629	-0.388638   0.0441185
-24.3253 2.87586	-0.366792   0.0428203
-24.5851 2.95812	-0.428847   0.0477023
-24.4105 2.93101	-0.398052   0.0518905
-24.3527 2.92247	-0.41076   0.061111
-24.4517 2.93486	-0.379152   0.0505243
-24.5154 2.86761	-0.444124   0.0426162
-24.2182 2.82211	-0.43539   0.0419401
-24.2042 2.75371	-0.43643   0.0409189
-23.9539 2.85217	-0.401274   0.0419462
-23.956 2.87571	-0.442056   0.0547825
-24.2374 2.86193	-0.424548   0.0512255
-24.4702 2.85582	-0.472466   0.0525156
-23.7839 2.9493	-0.465539   0.046576
-24.2251 2.94536	-0.467203   0.0435255
-24.1874 2.89629	-0.473803   0.0354044
-24.8588 2.75342	-0.574724   0.0366249
-23.9768 2.9165	-0.551011   0.0313878
-24.4078 2.95727	-0.510477   0.0439971
-24.618 2.89413	-0.490763   0.058461
-24.479 2.96018	-0.518936   0.0521088
-24.7325 2.83339	-0.512418   0.0521536
-24.5741 2.80911	-0.516007   0.0618418
-24.7551 2.84509	-0.435933   0.0621387
-24.9098 2.87732	-0.452486   0.046092
-24.6761 2.91109	-0.417637   0.0434264
-24.7024 2.87588	-0.428062   0.048448
-24.6231 2.92426	-0.400956   0.0608157
-24.9604 2.82855	-0.37503   0.0490976
-25.4688 2.86835	-0.404672   0.0468956
-25.3555 2.89131	-0.375883   0.0472978
-24.824 2.83578	-0.420164   0.0457191
-24.1329 2.829	-0.413544   0.0348886
-24.3688 2.91989	-0.363425   0.0410961
-24.0008 2.90534	-0.369828   0.0483866
-24.3631 2.95805	-0.363173   0.0591391
-24.2006 2.98656	-0.377344   0.0439902
-24.288 2.91665	-0.396772   0.03659
-24.197 2.79022	-0.336265   0.0655199
-24.6176 2.86285	-0.388429   0.0409185
-24.3947 2.85329	-0.414841   0.0381451
-24.2963 2.97866	-0.401725   0.0571779
-24.1364 2.94913	-0.421545   0.0500674
-24.0083 2.93431	-0.41773   0.0487103
-24.15 2.89074	-0.45563   0.0508541
-24.5402 2.87072	-0.408276   0.0606192
-24.4399 2.87825	-0.363567   0.0564077
-24.4957 2.91852	-0.399119   0.0469194
-24.37 2.94825	-0.382412   0.0524519
-24.332 2.92385	-0.372741   0.0495799
-24.0001 2.91628	-0.393893   0.0559504
-24.1352 2.88286	-0.421961   0.0428738
-24.3474 2.92551	-0.389113   0.0682699
-24.1103 2.96553	-0.454672   0.0550071
-24.5427 2.97781	-0.50307   0.060432
-24.0236 2.94655	-0.437579   0.0549209
-23.9486 2.854	-0.4358   0.0624417
-24.4764 2.84625	-0.369078   0.0455055
-24.8268 2.88396	-0.407906   0.0432953
-24.6479 2.97544	-0.401881   0.0421587
-24.7964 2.82114	-0.437016   0.0441056
-24.9287 2.6968	-0.399656   0.0504953
-24.5221 2.87316	-0.404605   0.0459635
-24.3792 2.96072	-0.422369   0.0448393
-24.2127 2.98398	-0.397384   0.0473564
-24.3725 2.90973	-0.355427   0.0540672
-24.0739 3.02121	-0.463507   0.0462438
-24.4446 2.97301	-0.445886   0.0474194
-25.1648 3.02851	-0.43859   0.0373416
-25.2148 2.96626	-0.492207   0.0381666
-25.0955 2.90328	-0.519892   0.0470854
-24.7955 2.82556	-0.484674   0.0630937
-24.5311 2.80764	-0.468718   0.0507361
-24.6622 2.81097	-0.409957   0.0584581
-24.5184 2.8806	-0.428709   0.0422816
-24.2211 2.84851	-0.42368   0.0423977
-24.2471 2.88814	-0.389877   0.0528886
-24.2296 2.92882	-0.433249   0.048482
-24.7044 2.84188	-0.419463   0.0522994
-24.298 2.94097	-0.425479   0.0505888
-24.5131 2.95155	-0.421436   0.0548795
-24.7307 2.97874	-0.381139   0.0553954
-24.7687 2.94114	-0.401979   0.0425495
-24.8797 2.90477	-0.475562   0.0385624
-24.6952 2.92367	-0.416832   0.0687227
-25.1973 2.87952	-0.407323   0.06576
-24.5243 2.8696	-0.453017   0.0474339
